client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
625240.860898003,0.0009581229657381757,625226.846988697,625226.849112615,625226.854739645,625226.871066134,625226.871093706,625226.872188526,625226.872314772,625240.890929126
625240.891107602,0.0008590649001598352,625226.876933944,625226.878941975,625226.884526945,625226.900870417,625226.900900183,625226.901965057,625226.902119887,625240.920698667
625240.920831848,0.0009856789506375793,625226.907216744,625226.909252777,625226.914840683,625226.931353992,625226.931380953,625226.932501852,625226.932647505,625240.951228527
625240.951360616,0.0008852669997587784,625226.93759383,625226.939752542,625226.945581129,625226.962884699,625226.962918392,625226.964053808,625226.964302314,625240.982893883
625240.983090514,0.0008875910020470605,625226.9694203,625226.971564887,625226.977471359,625226.99470652,625226.994735445,625226.995930313,625226.996097557,625241.014657105
625241.01478707,0.0009085820458382375,625227.001198099,625227.003364247,625227.009389752,625227.026524655,625227.026552468,625227.027586154,625227.027737397,625241.046247652
625241.046386172,0.0008250450671687705,625227.032680786,625227.034782373,625227.040449477,625227.056888367,625227.05692205,625227.058100537,625227.058238896,625241.076690217
625241.07680868,0.0008289659856110798,625227.063191522,625227.065419586,625227.071340065,625227.088607666,625227.088634386,625227.08970391,625227.089833723,625241.108361646
625241.108490709,0.0008490840466022498,625227.094671113,625227.096844023,625227.102563185,625227.119724467,625227.119753822,625227.120937219,625227.12109807,625241.139617793
625241.139731427,0.0008041070984825503,625227.125946321,625227.128213808,625227.133923883,625227.150739238,625227.150763003,625227.151816576,625227.15194152,625241.170476534
625241.170624673,0.000839029012382031,625227.156870421,625227.159029055,625227.164987825,625227.182900977,625227.182932636,625227.184064426,625227.18421102,625241.202657702
625241.20278969,0.0008411290191039436,625227.188899712,625227.191109851,625227.196763501,625227.213819767,625227.213849532,625227.214966645,625227.215140942,625241.233722819
625241.233857132,0.0009776439247056838,625227.219965548,625227.223229963,625227.229076543,625227.246076965,625227.246104225,625227.247139344,625227.247273706,625241.265845776
625241.265979398,0.0009569059766903511,625227.252355554,625227.254524297,625227.260223661,625227.277261012,625227.277289836,625227.278447333,625227.278581295,625241.297219304
625241.297350341,0.0009162090677097452,625227.283587291,625227.285788334,625227.291470816,625227.3084989,625227.308522424,625227.309818922,625227.309958123,625241.32864455
625241.328817665,0.0009956829922050242,625227.315334132,625227.317492013,625227.323200506,625227.339697635,625227.33972191,625227.340662201,625227.340776055,625241.359439348
625241.359606753,0.0010103809689432398,625227.345750171,625227.347796353,625227.353508873,625227.370570308,625227.370616866,625227.371822554,625227.371965562,625241.390620134
625241.390795965,0.0009304500014260426,625227.37721265,625227.379439391,625227.385222492,625227.402442755,625227.402467241,625227.403484927,625227.40363061,625241.422298415
625241.422441405,0.0009906270297244182,625227.408670069,625227.410942435,625227.416747267,625227.434203673,625227.434232908,625227.435294647,625227.435428588,625241.454107032
625241.454296769,0.0008816950402110828,625227.440620221,625227.442771851,625227.448385716,625227.465352624,625227.465379365,625227.466432668,625227.46656746,625241.485216464
625241.485348532,0.0009708549663722532,625227.471771487,625227.474035959,625227.480087543,625227.497107371,625227.497134502,625227.498289034,625227.498425029,625241.517151387
625241.517309414,0.0008715569588467476,625227.503696142,625227.505986061,625227.511741551,625227.528747713,625227.528781457,625227.529902426,625227.530063928,625241.548792971
625241.548939607,0.0010009389737248436,625227.535545225,625227.537774269,625227.543574864,625227.560720327,625227.560746937,625227.561929643,625227.562084373,625241.580675546
625241.580805751,0.0008946059695407738,625227.567131706,625227.569433628,625227.575636245,625227.592575221,625227.592618703,625227.593737398,625227.59386116,625241.612396357
625241.61253078,0.0009276450310721981,625227.598702628,625227.600767335,625227.606241198,625227.622477979,625227.622508867,625227.623531542,625227.623687283,625241.642371425
625241.642523721,0.0008942000021487477,625227.628811211,625227.631094497,625227.636958461,625227.653658179,625227.653683767,625227.654613268,625227.654739224,625241.673345921
625241.673481987,0.0008842470358237618,625227.659775307,625227.661942575,625227.667652691,625227.684720788,625227.684754842,625227.68576786,625227.685915907,625241.704503234
625241.704658356,0.0009415930249765531,625227.690715436,625227.69268747,625227.698157596,625227.714231562,625227.714255437,625227.715138882,625227.7152552,625241.733753949
