model,client_send_at,server_receive_at,image_preprocessed_at,image_predicted_at,image_save_at,qoe_computed_at,broker_produced_at,client_receive_at
squeezenet1_1,1731684898.988428,1731684898.993832,1731684898.9997466,1731684899.015156,1731684898.9942272,1731684899.015169,1731684899.0162337,1731684899.0166585
squeezenet1_1,1731684899.016853,1731684899.0219305,1731684899.0274775,1731684899.0435355,1731684899.0223012,1731684899.0435493,1731684899.0451965,1731684899.0456712
squeezenet1_1,1731684899.0458455,1731684899.0510356,1731684899.0567582,1731684899.0719476,1731684899.0514143,1731684899.0719593,1731684899.072741,1731684899.0730803
squeezenet1_1,1731684899.073251,1731684899.0780761,1731684899.0838807,1731684899.0991182,1731684899.0784383,1731684899.0991297,1731684899.0999973,1731684899.100184
squeezenet1_1,1731684899.1003292,1731684899.105287,1731684899.1106575,1731684899.1256673,1731684899.1056526,1731684899.1256785,1731684899.126475,1731684899.1268373
squeezenet1_1,1731684899.1270142,1731684899.1321392,1731684899.137617,1731684899.1529675,1731684899.1325014,1731684899.1529791,1731684899.1537466,1731684899.153981
squeezenet1_1,1731684899.1541493,1731684899.1591945,1731684899.1651168,1731684899.1802692,1731684899.1595724,1731684899.1802807,1731684899.1811044,1731684899.1813905
squeezenet1_1,1731684899.1815915,1731684899.1862738,1731684899.1922069,1731684899.2068706,1731684899.186635,1731684899.2068825,1731684899.2076328,1731684899.2079787
squeezenet1_1,1731684899.208165,1731684899.2132347,1731684899.2187672,1731684899.23368,1731684899.2136152,1731684899.2336915,1731684899.2344506,1731684899.2347546
squeezenet1_1,1731684899.2349036,1731684899.2400355,1731684899.245637,1731684899.2609735,1731684899.2404027,1731684899.260985,1731684899.261837,1731684899.2621465
squeezenet1_1,1731684899.2623293,1731684899.267861,1731684899.2744577,1731684899.2907474,1731684899.2683964,1731684899.29078,1731684899.2917862,1731684899.2924006
squeezenet1_1,1731684899.2926733,1731684899.2982213,1731684899.3038974,1731684899.319499,1731684899.2986593,1731684899.3195133,1731684899.3203254,1731684899.3208163
squeezenet1_1,1731684899.3209507,1731684899.3260748,1731684899.3316233,1731684899.346594,1731684899.3264632,1731684899.3466074,1731684899.3473983,1731684899.347694
