client_send_time,network_time,server_receive_time,image_save_time,image_preprocessed_time,image_predicted_time,qoe_computed_time,event_produced_time,response_create_time,client_receive_time
779356.392819617,0.787,779342.435890137,779342.437742451,779342.44329133,779342.460155986,779342.460181024,779342.460995175,779342.461138676,779356.421840093
779356.421917739,0.787,779342.465076593,779342.466937003,779342.472514406,779342.489677514,779342.489704254,779342.49047275,779342.490604508,779356.451322719
779356.451399313,0.787,779342.494356956,779342.496306013,779342.501866544,779342.518712845,779342.518738463,779342.519711445,779342.519835898,779356.480580201
779356.480673556,0.787,779342.523651667,779342.525662991,779342.531660453,779342.549558514,779342.549584252,779342.550516907,779342.550640119,779356.511419449
779356.511496594,0.787,779342.554599918,779342.556641548,779342.562225453,779342.579181712,779342.579208662,779342.580172696,779342.58030222,779356.54113983
779356.541220613,0.787,779342.584302565,779342.586315893,779342.592040231,779342.609168163,779342.609193592,779342.610103964,779342.610232466,779356.570998295
779356.57110171,0.787,779342.61426959,779342.616202677,779342.621798925,779342.638990306,779342.639046642,779342.639902321,779342.640057864,779356.600915307
779356.600993583,0.787,779342.644426774,779342.646468824,779342.652109667,779342.671211642,779342.671240145,779342.672166468,779342.672275644,779356.632936374
779356.633043746,0.787,779342.676379303,779342.678485245,779342.684235733,779342.701293523,779342.701319512,779342.702274598,779342.702426985,779356.663283365
779356.663361343,0.787,779342.706995479,779342.709184157,779342.714954803,779342.731839648,779342.731866388,779342.732626017,779342.732751362,779356.693727219
779356.693805886,0.787,779342.736788898,779342.738680867,779342.74431161,779342.761525724,779342.761551552,779342.762527028,779342.762654908,779356.723400371
779356.723477307,0.787,779342.766894063,779342.768956433,779342.774603045,779342.792200931,779342.792229074,779342.793123768,779342.793246027,779356.754031668
779356.754110676,0.787,779342.797562026,779342.799667497,779342.805471897,779342.822352663,779342.822376829,779342.823141578,779342.823258768,779356.783982875
779356.78409234,0.787,779342.826929324,779342.828781948,779342.834459149,779342.851653525,779342.851681768,779342.8525862,779342.852708861,779356.813415907
779356.813494153,0.787,779342.856645847,779342.858528298,779342.863899533,779342.880349099,779342.880369838,779342.881234344,779342.881362415,779356.842117454
779356.842196342,0.787,779342.885372539,779342.887445569,779342.893339046,779342.911045866,779342.911068559,779342.911864326,779342.911980885,779356.872815505
779356.872914431,0.787,779342.91608705,779342.917880995,779342.923202055,779342.939955973,779342.939984607,779342.940845085,779342.940976713,779356.901741504
779356.901813329,0.787,779342.944903731,779342.946878576,779342.952543203,779342.969549315,779342.969570225,779342.970442615,779342.970556119,779356.931226824
779356.931306845,0.787,779342.974284904,779342.976197922,779342.981587662,779342.99851678,779342.998544772,779342.999430949,779342.999567566,779356.960311934
779356.960391904,0.787,779343.003694931,779343.005599063,779343.011037955,779343.027569845,779343.027590273,779343.028417399,779343.028530913,779356.989270183
779356.989349061,0.787,779343.032463712,779343.0343183,779343.039763785,779343.056891045,779343.056917776,779343.057853526,779343.057989201,779357.018745805
779357.01881745,0.787,779343.061727865,779343.063700155,779343.069284701,779343.086039982,779343.086066532,779343.086860886,779343.086978487,779357.047699067
779357.047779328,0.787,779343.090890957,779343.092745476,779343.098609177,779343.115752207,779343.115778937,779343.116474546,779343.116598318,779357.077379133
